No,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Vendor,DHL WH,JDN MZD,AAA Storage,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,Stack_Status,Source_File,HAULER,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
2798,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280864,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2799,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280865,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2800,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280866,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2801,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280867,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2802,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280868,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2803,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280869,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2804,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280870,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2805,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280871,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2806,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280872,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2807,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,MIR,EQ-224,280873,1,Indoor,Accessories of 110V-3200Ah.Front & top covers  packed in EPE sheet with stretch film.,97.4,75.5,47.4,0.34856538,127.3,155.8,Stackable 1 tier,85044090,SEK,4120.999591836735,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,2025-05-15,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,Hauler Indoor,2025-05-15,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,Hauler Indoor,
2808,PRL-MIR-026-O ,HVDC-ADOPT-HE-0351,MIR,EQ-273,280874,1,Outdoor covered,4F OM1 MULTIMODE SWA LSZH,131.0,105.0,148.0,2.03574,753.0,1038.0,Stackable 2 tier,90011090,SEK,173270.0616377328,MSC MIRJA,United Kingdom,LONDON GATEWAY,Khalifa port,2025-04-12,2025-06-05,,,,,,,,2025-06-17,,,,"Case List, RIL",HITACHI,,,,,1.0,site,MIR,2025-06-17,site,0,1,1,1,2,,,HITACHI(HE),,,1,1,0,1,Port → Site,MIR,
2809,PRL-MIR-026-O ,HVDC-ADOPT-HE-0351,MIR,EQ-273,280875,1,Outdoor covered,4F OM1 MULTIMODE SWA LSZH,131.0,104.0,144.0,1.961856,791.0,1076.0,Stackable 2 tier,90011090,SEK,173270.0616377328,MSC MIRJA,United Kingdom,LONDON GATEWAY,Khalifa port,2025-04-12,2025-06-05,,,,,,,,2025-06-17,,,,"Case List, RIL",HITACHI,,,,,1.0,site,MIR,2025-06-17,site,0,1,1,1,2,,,HITACHI(HE),,,1,1,0,1,Port → Site,MIR,
2810,PRL-MIR-026-O ,HVDC-ADOPT-HE-0351,MIR,EQ-273,280876,1,Outdoor covered,4F OM1 MULTIMODE SWA LSZH,130.0,105.0,147.0,2.00655,735.0,1020.0,Stackable 2 tier,90011090,SEK,173270.0616377328,MSC MIRJA,United Kingdom,LONDON GATEWAY,Khalifa port,2025-04-12,2025-06-05,,,,,,,,2025-06-17,,,,"Case List, RIL",HITACHI,,,,,1.0,site,MIR,2025-06-17,site,0,1,1,1,2,,,HITACHI(HE),,,1,1,0,1,Port → Site,MIR,
2811,PRL-MIR-026-O ,HVDC-ADOPT-HE-0351,MIR,EQ-273,280877,1,Outdoor covered,8F OM1 MULTIMODE SWA LSZH,147.0,103.0,162.0,2.452842,915.0,1200.0,Stackable 2 tier,90011090,SEK,173270.0616377328,MSC MIRJA,United Kingdom,LONDON GATEWAY,Khalifa port,2025-04-12,2025-06-05,,,,,,,,2025-06-17,,,,"Case List, RIL",HITACHI,,,,,1.0,site,MIR,2025-06-17,site,0,1,1,1,2,,,HITACHI(HE),,,1,1,0,1,Port → Site,MIR,
