No,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Vendor,DHL WH,JDN MZD,AAA Storage,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,Stack_Status,Source_File,HAULER,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
4732,PRL-ZAK-013-A1,HVDC-ADOPT-HE-0495,AGI,EQ-044,366581,1,Outdoor covered,"DC Pole Bus arrester, DC",219.0,190.0,45.0,1.87245,90.0,235.0,Stackable 3 tier,8535 4000,SEK,238177.125,EY,Denmark,Copenhagen,Abu Dhabi Airport,2025-09-02,2025-09-02,,,2025-09-06,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Outdoor,2025-09-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Outdoor,
4733,PRL-CS-046-O SPARE,HVDC-ADOPT-HE-0467,AGI,EQ-072,366582,1,Outdoor covered,Outdoor Current Transformer GSWF  24,80.0,60.0,80.0,0.384,81.0,117.8,Not stackable,8504 3300 ,EUR,4587.3,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,2025-09-27,,,,,2025-10-02,"Case List, RIL",HITACHI,,,,1.0,1.0,site,AGI,2025-10-02,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,AGI,
4734,PRL-ZAK-013-A1,HVDC-ADOPT-HE-0495,AGI,EQ-044,366583,1,Outdoor covered,"DC Pole Bus arrester, DC",219.0,190.0,45.0,1.87245,95.0,240.0,Stackable 3 tier,8535 4000,SEK,238177.125,EY,Denmark,Copenhagen,Abu Dhabi Airport,2025-09-02,2025-09-02,,,2025-09-06,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Outdoor,2025-09-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Outdoor,
4735,PRL-ZAK-013-A1,HVDC-ADOPT-HE-0495,AGI,EQ-044,366584,1,Outdoor covered,"DC Pole Bus arrester, DC",219.0,190.0,45.0,1.87245,95.0,240.0,Stackable 3 tier,8535 4000,SEK,238177.125,EY,Denmark,Copenhagen,Abu Dhabi Airport,2025-09-02,2025-09-02,,,2025-09-06,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Outdoor,2025-09-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Outdoor,
4736,PRL-ZAK-013-A1,HVDC-ADOPT-HE-0495,AGI,EQ-044,366585,1,Outdoor covered,"DC Pole Bus arrester, DC",219.0,190.0,45.0,1.87245,95.0,240.0,Stackable 3 tier,8535 4000,SEK,238177.125,EY,Denmark,Copenhagen,Abu Dhabi Airport,2025-09-02,2025-09-02,,,2025-09-06,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Outdoor,2025-09-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Outdoor,
4737,PRL-ZAK-013-A1,HVDC-ADOPT-HE-0495,AGI,EQ-044,366586,1,Outdoor covered,"DC Pole Bus arrester, DC",219.0,190.0,45.0,1.87245,95.0,240.0,Stackable 3 tier,8535 4000,SEK,238177.125,EY,Denmark,Copenhagen,Abu Dhabi Airport,2025-09-02,2025-09-02,,,2025-09-06,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Outdoor,2025-09-06,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Outdoor,
4738,PRL-ZAK-017-O3,HVDC-ADOPT-HE-0429,AGI,EQ-352,366587,1,Indoor,Aluminium Busbar Tubes ø  160 x 6 mm,400.0,68.0,26.0,0.7072,121.0,127.0,Stackable 3 tier,8504 9090 ,EUR,633.7845000000001,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4739,PRL-ZAK-017-O3,HVDC-ADOPT-HE-0429,AGI,EQ-352,366588,1,Indoor,Aluminium Busbar Tubes ø  160 x 6 mm,400.0,68.0,26.0,0.7072,123.0,129.0,Stackable 3 tier,8504 9090 ,EUR,633.7845000000001,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4740,PRL-ZAK-017-O3,HVDC-ADOPT-HE-0429,AGI,EQ-352,366589,1,Indoor,Aluminium Busbar Tubes ø  160 x 6 mm,400.0,68.0,26.0,0.7072,122.0,128.0,Stackable 3 tier,8504 9090 ,EUR,633.7845000000001,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4741,PRL-ZAK-017-O3,HVDC-ADOPT-HE-0429,AGI,EQ-352,366590,1,Indoor,Aluminium Busbar Tubes ø  160 x 6 mm,400.0,34.0,26.0,0.3536,61.0,65.0,Stackable 3 tier,8504 9090 ,EUR,633.7845000000001,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4742,PRL-ZAK-017-O3,HVDC-ADOPT-HE-0429,AGI,EQ-352,366591,1,Indoor,Aluminium Busbar Tubes ø  160 x 6 mm,400.0,51.0,26.0,0.5304,91.0,97.0,Stackable 3 tier,8504 9090 ,EUR,633.7845000000001,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4743,PRL-ZAK-017-O3,HVDC-ADOPT-HE-0429,AGI,EQ-352,366592,1,Indoor,Aluminium Busbar Tubes ø  160 x 6 mm,400.0,25.0,26.0,0.26,29.0,35.0,Stackable 3 tier,8504 9090 ,EUR,633.7845000000001,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4744,PRL-CS-042-O,HVDC-ADOPT-HE-0430,AGI,EQ-253,366593,1,Indoor,Trapped Key Interlocks - ZAK,120.0,80.0,75.0,0.72,144.0,164.0,Stackable X1,8301 4090 ,EUR,69479.8155,MSC VERONA,BELGIUM,Antwerp,Khalifa port,2025-07-19,2025-08-18,2025-09-10,,,,,,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,DSV Indoor,2025-09-10,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,DSV Indoor,
4745,PRL-ZAK-029-A,HVDC-ADOPT-HE-0443,AGI,EQ-358,366595,1,Outdoor,Bolts & Turnbuckles,120.0,80.0,60.0,0.576,338.0,353.0,stackable,73181595,SEK,27738.78,EY178,Denmark,Copenhagen,Abu Dhabi Airport,2025-07-13,2025-07-13,,,,,,2025-07-16,,,,,2025-07-25,"Case List, RIL",HITACHI,,,,1.0,1.0,site,AGI,2025-07-25,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,AGI,
4746,PRL-ZAK-029-A,HVDC-ADOPT-HE-0443,AGI,EQ-358,366596,1,Outdoor,Bolts & Turnbuckles,40.0,20.0,15.0,0.012,6.3,7.0,stackable,73181595,SEK,27738.78,EY178,Denmark,Copenhagen,Abu Dhabi Airport,2025-07-13,2025-07-13,,,,,,2025-07-16,,,,,2025-07-25,"Case List, RIL",HITACHI,,,,1.0,1.0,site,AGI,2025-07-25,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,AGI,
4747,PRL-ZAK-029-A,HVDC-ADOPT-HE-0443,AGI,EQ-358,366597,1,Outdoor,Bolts & Turnbuckles,120.0,80.0,40.0,0.384,109.0,124.0,stackable,73181595,SEK,22925.3,EY178,Denmark,Copenhagen,Abu Dhabi Airport,2025-07-13,2025-07-13,,,,,,2025-07-16,,,,,2025-07-25,"Case List, RIL",HITACHI,,,,1.0,1.0,site,AGI,2025-07-25,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,AGI,
4748,PRL-ZAK-029-A,HVDC-ADOPT-HE-0443,AGI,EQ-358,366598,1,Outdoor,Bolts & Turnbuckles,105.0,9.0,9.0,0.008505,10.0,11.0,stackable,73181595,SEK,22925.3,EY178,Denmark,Copenhagen,Abu Dhabi Airport,2025-07-13,2025-07-13,,,,,,2025-07-16,,,,,2025-07-25,"Case List, RIL",HITACHI,,,,1.0,1.0,site,AGI,2025-07-25,site,1,1,2,0,2,,,HITACHI(HE),,,1,2,1,2,Port → WH → Site,AGI,
4749,PRL-ZAK-029-A2,HVDC-ADOPT-HE-0461,AGI,EQ-358,366646,1,Indoor,Bolts & Turnbuckles,80.0,60.0,50.0,0.24,112.0,123.0,stackable,32141010,SEK,12946.6,EY178,Denmark,Copenhagen,Abu Dhabi Airport,2025-07-24,2025-07-24,,,,,,2025-07-16,,,,,,"Case List, RIL",HITACHI,,,,1.0,,warehouse,MOSB,2025-07-16,warehouse,1,0,1,-1,0,,,HITACHI(HE),,,0,1,1,2,Port → WH → Site,MOSB,
4750,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366704,1,Outdoor,AC hall (outdoors) Insulators 301,84.0,84.0,188.8,1.3321728,450.0,558.0,Stackable 2 tier,8546 2000,EUR,4181.76,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4751,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366705,1,Outdoor,AC hall (outdoors) Insulators 301,84.0,84.0,188.8,1.3321728,450.0,558.0,Stackable 2 tier,8546 2000,EUR,4181.76,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4752,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366706,1,Outdoor,AC hall (outdoors) Insulators 301,84.0,84.0,188.8,1.3321728,450.0,558.0,Stackable 2 tier,8546 2000,EUR,4181.76,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4753,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366707,1,Outdoor,AC hall (outdoors) Insulators 301,84.0,84.0,188.8,1.3321728,450.0,558.0,Stackable 2 tier,8546 2000,EUR,4181.76,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4754,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366708,1,Outdoor,AC hall (outdoors) Insulators 301,84.0,84.0,188.8,1.3321728,400.0,508.0,Stackable 2 tier,8546 2000,EUR,4181.76,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4755,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366709,1,Outdoor,TERTIARY AREA INSULATOR 303B,84.0,84.0,74.8,0.5277888,234.0,302.0,Stackable 2 tier,8546 2000,EUR,1946.25,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4756,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366710,1,Outdoor,TERTIARY AREA INSULATOR 303B,84.0,84.0,74.8,0.5277888,234.0,302.0,Stackable 2 tier,8546 2000,EUR,1946.25,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4757,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366711,1,Outdoor,TERTIARY AREA INSULATOR 303B,84.0,84.0,74.8,0.5277888,208.0,276.0,Stackable 2 tier,8546 2000,EUR,1946.25,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4758,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366712,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 304,84.0,84.0,95.8,0.6759647999999999,198.0,274.0,Stackable 2 tier,8546 2000,EUR,2391.66,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4759,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366713,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 304,84.0,84.0,95.8,0.6759647999999999,198.0,274.0,Stackable 2 tier,8546 2000,EUR,2391.66,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4760,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366714,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 304,84.0,84.0,95.8,0.6759647999999999,198.0,274.0,Stackable 2 tier,8546 2000,EUR,2391.66,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4761,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366715,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 304,84.0,84.0,95.8,0.6759647999999999,198.0,274.0,Stackable 2 tier,8546 2000,EUR,2391.66,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4762,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366716,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 304,84.0,84.0,95.8,0.6759647999999999,154.0,230.0,Stackable 2 tier,8546 2000,EUR,2391.66,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4763,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366717,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4764,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366718,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4765,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366719,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4766,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366720,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4767,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366721,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4768,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366722,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4769,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366723,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4770,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366724,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4771,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366725,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4772,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366726,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4773,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366727,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305,264.0,102.0,83.5,2.248488,630.0,863.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4774,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366728,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305--Corona ring,374.0,119.5,97.5,4.3575675,126.0,228.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4775,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366729,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305--Corona ring,374.0,119.5,97.5,4.3575675,126.0,228.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4776,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366730,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305--Corona ring,374.0,119.5,97.5,4.3575675,126.0,228.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4777,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366731,1,Outdoor,TRANSFORMAER NEUTRAL INSULATOR 305--Corona ring,284.0,101.5,80.5,2.320493,84.0,186.0,Stackable 2 tier,8546 2000,EUR,3534.3,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4778,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366732,1,Outdoor,REACTOR HALL INSULATOR 306A,294.0,102.0,83.5,2.503998,630.0,830.0,Stackable 2 tier,8546 2000,EUR,2952.0,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4779,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366733,1,Outdoor,REACTOR HALL INSULATOR 306A,294.0,102.0,83.5,2.503998,630.0,830.0,Stackable 2 tier,8546 2000,EUR,2952.0,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
4780,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,AGI,EQ-353,366734,1,Outdoor,REACTOR HALL INSULATOR 306A,294.0,102.0,83.5,2.503998,630.0,830.0,Stackable 2 tier,8546 2000,EUR,2952.0,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,2025-08-11,2025-09-08,,,,,,,,,,,,"Case List, RIL",HITACHI,,,,,,Pre Arrival,Pre Arrival,,Pre Arrival,0,0,0,0,0,,,HITACHI(HE),,,0,0,0,0,Pre Arrival,Pre Arrival,
