No,CWI Job Number,Order Ref. Number,S/No,RATE SOURCE,DESCRIPTION,RATE,Formula,Q'TY,TOTAL (USD),REV RATE,REV TOTAL,DIFFERENCE,Validation_Status,Ref_Rate_USD,Python_Delta,CG_Band,Charge_Group,Gate_Score,Gate_Status,PDF_Count,PDF_Amount,PDF_Qty,PDF_Unit_Rate,Validation_Notes
56,BAMF0017886,"HVDC-ADOPT-HE-0464,0465,0470",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,FAIL,80.0,87.5,CRITICAL,Contract,75,FAIL,1,,,,Contract rate from config; High delta: 87.5%
57,BAMF0017886,"HVDC-ADOPT-HE-0464,0465,0470",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
58,BAMF0017895,"HVDC-ADOPT-HE-0437,0438-2,0439-2,0440-2,0441-1",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
59,BAMF0017895,"HVDC-ADOPT-HE-0437,0438-2,0439-2,0440-2,0441-1",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
60,BAMF0017784,HVDC-ADOPT-HE-0487,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
61,BAMF0017784,HVDC-ADOPT-HE-0487,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
62,BAMF0017782,"HVDC-ADOPT-HE-0438, 0439, 0440-1, 0441, 0482, 0454",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
63,BAMF0017782,"HVDC-ADOPT-HE-0438, 0439, 0440-1, 0441, 0482, 0454",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
64,BAMF0018017,"HVDC-ADOPT-HE-0425, 0426, 0427, 0428",1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
65,BAMF0018017,"HVDC-ADOPT-HE-0425, 0426, 0427, 0428",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
66,BAMF0018063,HVDC-ADOPT-HE-0475,1,CONTRACT,MASTER DO FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
67,BAMF0018063,HVDC-ADOPT-HE-0475,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
68,BAMF0017944,HVDC-ADOPT-HE-0497,1,CONTRACT,MASTER DO FEE,80.0,,2,160.0,80.0,160.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,2,,,,Contract rate from config; Within tolerance
69,BAMF0017944,HVDC-ADOPT-HE-0497,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,2,300.0,150.0,300.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,2,,,,Contract rate from config; Within tolerance
70,BAMF0017956,HVDC-ADOPT-HE-0500,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
71,BAMF0017956,HVDC-ADOPT-HE-0500,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
72,BAMF0017779,HVDC-ADOPT-HE-0488,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
73,BAMF0017779,HVDC-ADOPT-HE-0488,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
74,BAMF0017809,"HVDC-ADOPT-HE-0495, 0496",1,CONTRACT,MASTER DO FEE,80.0,,2,160.0,80.0,160.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,2,,,,Contract rate from config; Within tolerance
75,BAMF0017809,"HVDC-ADOPT-HE-0495, 0496",2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,2,300.0,150.0,300.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,2,,,,Contract rate from config; Within tolerance
76,BAMF0018061,HVDC-ADOPT-HE-0498,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
77,BAMF0018061,HVDC-ADOPT-HE-0498,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
78,BAMF0018095,HVDC-ADOPT-HE-0501,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
79,BAMF0018095,HVDC-ADOPT-HE-0501,2,CONTRACT,CUSTOMS CLEARANCE FEE,150.0,,1,150.0,150.0,150.0,0.0,PASS,150.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
80,BAMF0018089,HVDC-ADOPT-HE-0502,1,CONTRACT,MASTER DO FEE,80.0,,1,80.0,80.0,80.0,0.0,PASS,80.0,0.0,PASS,Contract,90,PASS,1,,,,Contract rate from config; Within tolerance
