no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,고유 중복,Vendor,Source_Vendor,__case_key__,__dup_label__,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE_ORIG,FLOW_OVERRIDE_REASON,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
652,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,115.0,85.0,91.0,0.889525,664,720.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
653,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Grid Cableway & Conductor,318.0,68.0,82.0,1.773168,781,941.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.16,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
654,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,115.0,85.0,91.0,0.889525,400,456.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
655,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,537.0,38.0,50.0,1.0203,220,360.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,2.04,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
656,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,115.0,85.0,91.0,0.889525,578,634.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
657,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,115.0,85.0,58.0,0.56695,24,71.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
658,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Accessories,115.0,85.0,91.0,0.889525,370,426.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.98,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
659,HVDC-ADOPT-SIM-0012,,MIR,,,1.0,Outdoor,Bracket,66.0,45.0,63.0,0.18711,67,84.0,Non Stackable,2537 2099,USD,39382.15357142857,Edith Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-11,,,,,,,,,,,2024-10-25,,,,CASE_LIST,,1.0,site,MIR,2024-10-25,site,0,1,1,1,2,0.3,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
660,HVDC-ADOPT-SIM-0013,,MIR,,,1.0,Indoor,SF6-Gas 600L,262.2,179.2,139.8,6.568676352,2106,2475.0,Non Stackable,2812 9000,USD,187593.62,Eugen Maersk,Germany,Hamburg,Khalifa port,2024-09-03,2024-10-21,,,,,,,,,,,2024-10-30,,,,CASE_LIST,,1.0,site,MIR,2024-10-30,site,0,1,1,1,2,4.7,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
661,HVDC-ADOPT-SIM-0014,,SHU,,,1.0,Outdoor,Earthing and Lightning Materials,100.0,100.0,125.0,1.25,1046,1066.25,Non Stackable,,GBP,4147.258333333333,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,,2024-10-15,,,CASE_LIST,,1.0,site,SHU,2024-10-15,site,0,1,1,1,2,1.0,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
662,HVDC-ADOPT-SIM-0014,,SHU,,,1.0,Outdoor,Earthing and Lightning Materials,320.0,42.0,20.0,0.2688,164,189.0,Non Stackable,,GBP,4147.258333333333,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,,2024-10-15,,,CASE_LIST,,1.0,site,SHU,2024-10-15,site,0,1,1,1,2,1.34,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
663,HVDC-ADOPT-SIM-0014,,SHU,,,1.0,Outdoor,Earthing and Lightning Materials,65.0,65.0,63.0,0.266175,530,537.1,Non Stackable,,GBP,4147.258333333333,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,,2024-10-15,,,CASE_LIST,,1.0,site,SHU,2024-10-15,site,0,1,1,1,2,0.42,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
664,HVDC-ADOPT-SIM-0014,,SHU,,,1.0,Outdoor,Earthing and Lightning Materials,65.0,65.0,50.0,0.21125,377,386.65,Non Stackable,,GBP,4147.258333333333,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,,2024-10-15,,,CASE_LIST,,1.0,site,SHU,2024-10-15,site,0,1,1,1,2,0.42,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
665,HVDC-ADOPT-SIM-0014,,SHU,,,1.0,Outdoor,Earthing and Lightning Materials,76.0,76.0,65.0,0.37544,584,594.35,Non Stackable,,GBP,4147.258333333333,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,,2024-10-15,,,CASE_LIST,,1.0,site,SHU,2024-10-15,site,0,1,1,1,2,0.58,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
666,HVDC-ADOPT-SIM-0014,,SHU,,,1.0,Outdoor,Earthing and Lightning Materials,65.0,65.0,46.0,0.19435,66,75.05,Non Stackable,,GBP,4147.258333333333,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,,2024-10-15,,,CASE_LIST,,1.0,site,SHU,2024-10-15,site,0,1,1,1,2,0.42,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,SHU
667,HVDC-ADOPT-SIM-0014,,MIR,,,1.0,Outdoor,Earthing and Lightning Materials,100.0,100.0,90.0,0.9,660,680.35,Non Stackable,,GBP,3850.742,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,2024-10-15,,,,CASE_LIST,,1.0,site,MIR,2024-10-15,site,0,1,1,1,2,1.0,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
668,HVDC-ADOPT-SIM-0014,,MIR,,,1.0,Outdoor,Earthing and Lightning Materials,65.0,65.0,66.0,0.27885,563,571.3,Non Stackable,,GBP,3850.742,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,2024-10-15,,,,CASE_LIST,,1.0,site,MIR,2024-10-15,site,0,1,1,1,2,0.42,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
669,HVDC-ADOPT-SIM-0014,,MIR,,,1.0,Outdoor,Earthing and Lightning Materials,305.0,42.0,25.0,0.32025,104,124.0,Non Stackable,,GBP,3850.742,CMA CGM TITAN,United Kingdom,Southampton,Khalifa port,2024-08-21,2024-10-03,,,,,,,,,,,2024-10-15,,,,CASE_LIST,,1.0,site,MIR,2024-10-15,site,0,1,1,1,2,1.28,중복,,SIEMENS,,중복,SIMENSE(SIM),,1,1,0,1,,1,Flow 1: Port → Site,MIR
