s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,pdf_validation,demurrage_risk,gates,supporting_docs_list,evidence_count,evidence_types
2,HE0501,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0501_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\24. HVDC-ADOPT-HE-0501\\HVDC-ADOPT-HE-0501_BOE.pdf', 'doc_type': 'BOE', 'file_size': 250342}]",1,['BOE']
1,HE0502,MASTER DO FEE,CONTRACT,80.0,1.0,80.0,FAIL,CRITICAL,-46.67,CRITICAL,Contract,['Contract 과다/과소 청구: Delta -46.67% (Ref: $150.0)'],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0502_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\25. HVDC-ADOPT-HE-0502\\HVDC-ADOPT-HE-0502_BOE.pdf', 'doc_type': 'BOE', 'file_size': 249258}]",1,['BOE']
2,HE0502,CUSTOMS CLEARANCE FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,75.0,Gate_01,"{'enabled': True, 'parsed_files': 1, 'total_files': 1, 'cross_doc_status': 'PASS', 'cross_doc_issues': 0, 'issues_detail': []}",,,"[{'file_name': 'HVDC-ADOPT-HE-0502_BOE.pdf', 'file_path': 'C:\\Users\\minky\\Downloads\\HVDC_Invoice_Audit-20251012T195441Z-1-001\\HVDC_Invoice_Audit\\01_DSV_SHPT\\Data\\DSV 202509\\SCNT Import (Sept 2025) - Supporting Documents\\25. HVDC-ADOPT-HE-0502\\HVDC-ADOPT-HE-0502_BOE.pdf', 'doc_type': 'BOE', 'file_size': 249258}]",1,['BOE']
1,HE0499L1,BILL OF ENTRY,DUTY,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
2,HE0499L1,REGISTERATION FEE & KNOWLEDGE DIRHAM,DUTY,24.51,1.0,24.51,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
3,HE0499L1,DOCS PROCESSING,DUTY,15.72,1.0,15.72,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
4,HE0499L1,GATE PASS CHARGES,DUTY,8.58,1.0,8.58,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
5,HE0499L1,CODE IN JEBAL ALI SUBSCRIPTION,DUTY,85.77,1.0,85.77,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
6,HE0499L1,CUSTOMS INSPECTION,DUTY,125.0,1.0,125.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
7,HE0499L1,PRO CUSTOMS,DUTY,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Other,[],0.03,,,FAIL,62.5,Gate_01,,,,[],0,[]
