s_no,sheet_name,description,rate_source,unit_rate,quantity,total_usd,status,flag,delta_pct,cg_band,charge_group,issues,tolerance,ref_rate_usd,doc_aed,gate_status,gate_score,gate_fails,supporting_docs_list,evidence_count,evidence_types,pdf_validation,demurrage_risk,gates,S/No,REV RATE,REV TOTAL,DIFFERENCE
7,MasterData,CARRIER CONTAINER RETURN SERVICE FEE,AT COST,145.6773315180395,1.0,145.6773315180395,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,7.0,145.68,145.68,0.002668481960512281
7,MasterData,CARRIER CONTAINER RETURN SERVICE FEE,AT COST,145.6773315180395,1.0,145.6773315180395,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,7.0,8.17,8.17,0.001177671885635334
7,MasterData,CARRIER CONTAINER RETURN SERVICE FEE,AT COST,145.6773315180395,1.0,145.6773315180395,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,7.0,21.78,21.78,-0.0035262083049687476
7,MasterData,CARRIER CONTAINER RETURN SERVICE FEE,AT COST,145.6773315180395,1.0,145.6773315180395,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,7.0,9.53,9.53,-0.00029271613342451985
7,MasterData,CARRIER CONTAINER RETURN SERVICE FEE,AT COST,145.6773315180395,1.0,145.6773315180395,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,7.0,7.35,7.35,-0.0019400953029276025
7,MasterData,CARRIER CONTAINER RETURN SERVICE FEE,AT COST,145.6773315180395,1.0,145.6773315180395,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,7.0,150.0,150.0,0.0
8,MasterData,PORT CONTAINER ADMIN/INSPECTION FEE (1 X 20DC / 2 X 40HC),AT COST,6.8073519400953035,3.0,20.422055820285912,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,8.0,6.81,20.43,0.00794417971408734
8,MasterData,PORT CONTAINER ADMIN/INSPECTION FEE (1 X 20DC / 2 X 40HC),AT COST,6.8073519400953035,3.0,20.422055820285912,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,8.0,6.81,6.81,0.002648059904696076
8,MasterData,PORT CONTAINER ADMIN/INSPECTION FEE (1 X 20DC / 2 X 40HC),AT COST,6.8073519400953035,3.0,20.422055820285912,REVIEW_NEEDED,OK,0.0,PASS,AtCost,[],0.03,,,FAIL,62.5,Gate_01,[],0,[],,,,8.0,1978.35,1978.35,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,150.0,150.0,0.0
1,MasterData,MASTER DO FEE,CONTRACT,150.0,1.0,150.0,REVIEW_NEEDED,OK,0.0,PASS,Contract,[],0.03,150.0,,FAIL,62.5,Gate_01,[],0,[],,,,1.0,49.01,49.01,0.0
