no.,Shipment Invoice No.,SCT Ref.No,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL WH,DSV Indoor,DSV Al Markaz,AAA Storage,DSV Outdoor,DSV MZP,MOSB,Hauler Indoor,JDN MZD,Shifting,MIR,SHU,DAS,AGI,Source_Sheet,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location,Status_Location_Date,Status_Storage,wh handling,site handling,total handling,minus,final handling,SQM,Vendor,Source_Vendor,MOSB.1,Source_File,Status_Location_YearMonth,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location
6726,PRL-DAS-037-A3,HVDC-ADOPT-HE-0497,DAS,EQ-354,209683,1.0,Outdoor covered,Das Main 2.56 - connectors,115.0,80.0,105.0,0.966,153,218.0,Stackable 3 tier,8536 9010 ,EUR,4755.578119672133,EY419,NETHERLANDS,Amsterdam,Abu Dhabi Airport,2025-09-08,2025-09-09,,,,,,,2025-09-15,,,,,,2025-09-21,,"Case List, RIL",1.0,1.0,site,DAS,2025-09-21,site,1,1,2,0,2,0.92,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6727,PRL-DAS-037-A3,HVDC-ADOPT-HE-0497,DAS,EQ-354,209684,1.0,Outdoor covered,Das Main 2.57 - connectors,115.0,80.0,105.0,0.966,153,218.0,Stackable 3 tier,8536 9010 ,EUR,4755.578119672133,EY419,NETHERLANDS,Amsterdam,Abu Dhabi Airport,2025-09-08,2025-09-09,,,,,,,2025-09-15,,,,,,2025-09-21,,"Case List, RIL",1.0,1.0,site,DAS,2025-09-21,site,1,1,2,0,2,0.92,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6728,PRL-DAS-037-A3,HVDC-ADOPT-HE-0497,DAS,EQ-354,209685,1.0,Outdoor covered,Das Main 2.58 - connectors,115.0,80.0,105.0,0.966,153,218.0,Stackable 3 tier,8536 9010 ,EUR,4755.578119672133,EY419,NETHERLANDS,Amsterdam,Abu Dhabi Airport,2025-09-08,2025-09-09,,,,,,,2025-09-15,,,,,,2025-09-21,,"Case List, RIL",1.0,1.0,site,DAS,2025-09-21,site,1,1,2,0,2,0.92,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6729,PRL-DAS-037-A3,HVDC-ADOPT-HE-0497,DAS,EQ-354,209686,1.0,Outdoor covered,Das Main 2.59 - connectors,115.0,80.0,105.0,0.966,153,218.0,Stackable 3 tier,8536 9010 ,EUR,4755.578119672133,EY419,NETHERLANDS,Amsterdam,Abu Dhabi Airport,2025-09-08,2025-09-09,,,,,,,2025-09-15,,,,,,2025-09-21,,"Case List, RIL",1.0,1.0,site,DAS,2025-09-21,site,1,1,2,0,2,0.92,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6730,PRL-DAS-037-A3,HVDC-ADOPT-HE-0497,DAS,EQ-354,209687,1.0,Outdoor covered,Das Main 2.60 - connectors,115.0,80.0,105.0,0.966,142,207.0,Stackable 3 tier,8536 9010 ,EUR,4755.578119672133,EY419,NETHERLANDS,Amsterdam,Abu Dhabi Airport,2025-09-08,2025-09-09,,,,,,,2025-09-15,,,,,,2025-09-21,,"Case List, RIL",1.0,1.0,site,DAS,2025-09-21,site,1,1,2,0,2,0.92,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6731,PRL-DAS-037-A3,HVDC-ADOPT-HE-0497,DAS,EQ-354,209688,1.0,Outdoor covered,Das Main 2.61 - connectors,115.0,80.0,105.0,0.966,115,180.0,Stackable 3 tier,8536 9010 ,EUR,4755.578119672133,EY419,NETHERLANDS,Amsterdam,Abu Dhabi Airport,2025-09-08,2025-09-09,,,,,,,2025-09-15,,,,,,2025-09-21,,"Case List, RIL",1.0,1.0,site,DAS,2025-09-21,site,1,1,2,0,2,0.92,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6732,PRL-SHU-078-O SPARE,HVDC-ADOPT-HE-0466,SHU,EQ-072,192493,1.0,Outdoor covered,Outdoor Current Transformer GSWF  24,143.0,60.0,80.0,0.6864,251,309.0,Not stackable,8504 3300 ,EUR,13941.45,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,,,,,,,2025-09-25,,,"Case List, RIL",,1.0,site,SHU,2025-09-25,site,0,1,1,1,2,0.86,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6733,PRL-SHU-078-O SPARE,HVDC-ADOPT-HE-0466,SHU,EQ-072,192560,1.0,Outdoor covered,Outdoor Current Transformer GSWF  24,80.0,60.0,80.0,0.384,79,117.6,Not stackable,8504 3300 ,EUR,4618.35,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,,,,,,,2025-09-25,,,"Case List, RIL",,1.0,site,SHU,2025-09-25,site,0,1,1,1,2,0.48,,,,UNKNOWN,,1,1,0,1,Port → Site,SHU
6734,PRL-CS-046-O SPARE,HVDC-ADOPT-HE-0467,DAS,EQ-072,209429,1.0,Outdoor covered,Outdoor Current Tranformer GSWF 24,143.0,60.0,80.0,0.6864,244,304.0,Not stackable,8504 3300 ,EUR,13805.1,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,,2025-09-27,,,,,,2025-10-02,,"Case List, RIL",1.0,1.0,site,DAS,2025-10-02,site,1,1,2,0,2,0.86,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6735,PRL-CS-046-O SPARE,HVDC-ADOPT-HE-0467,DAS,EQ-072,209436,1.0,Outdoor covered,Outdoor Current Transformer GSWF 24,80.0,60.0,80.0,0.384,81,118.4,Not stackable,8504 3300 ,EUR,4587.3,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,,2025-09-27,,,,,,2025-10-02,,"Case List, RIL",1.0,1.0,site,DAS,2025-10-02,site,1,1,2,0,2,0.48,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,DAS
6736,PRL-CS-046-O SPARE,HVDC-ADOPT-HE-0467,AGI,EQ-072,366526,1.0,Outdoor covered,Outdoor Current Transformer GSWF  24,143.0,60.0,80.0,0.6864,244,303.0,Not stackable,8504 3300 ,EUR,13805.1,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,,2025-09-27,,,,,,,2025-10-02,"Case List, RIL",1.0,1.0,site,AGI,2025-10-02,site,1,1,2,0,2,0.86,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,AGI
6737,PRL-CS-046-O SPARE,HVDC-ADOPT-HE-0467,AGI,EQ-072,366582,1.0,Outdoor covered,Outdoor Current Transformer GSWF  24,80.0,60.0,80.0,0.384,81,117.8,Not stackable,8504 3300 ,EUR,4587.3,MSC MARA,BELGIUM,Antwerp,Khalifa port,2025-08-14,2025-09-15,,,,,,,2025-09-27,,,,,,,2025-10-02,"Case List, RIL",1.0,1.0,site,AGI,2025-10-02,site,1,1,2,0,2,0.48,,,,UNKNOWN,,1,2,1,2,Port → WH → Site,AGI
