origin_norm,destination_norm,vehicle_norm,unit,median_rate_usd,median_distance_km,p25,p75,samples,key
Prestige Icad Iii Mussafah,MIRFA SITE,FB,per truck,420.0,141.0,420.0,420.0,1,PRESTIGE ICAD III MUSSAFAH||MIRFA SITE||FB||per truck
Prestige Icad Iii Mussafah,SHUWEIHAT Site,FB,per truck,600.0,245.0,600.0,600.0,1,PRESTIGE ICAD III MUSSAFAH||SHUWEIHAT SITE||FB||per truck
Prestige Mussafah,Al Masaood (MOSB),3 TON PU,per truck,120.0,5.94,120.0,120.0,1,PRESTIGE MUSSAFAH||AL MASAOOD (MOSB)||3 TON PU||per truck
Prestige Mussafah,Al Masaood (MOSB),FB,per truck,200.0,5.94,200.0,200.0,3,PRESTIGE MUSSAFAH||AL MASAOOD (MOSB)||FB||per truck
Prestige Mussafah,MIRFA SITE,FB,per truck,420.0,141.0,420.0,810.0,11,PRESTIGE MUSSAFAH||MIRFA SITE||FB||per truck
Prestige Mussafah,SHUWEIHAT Site,FB,per truck,600.0,245.0,600.0,600.0,7,PRESTIGE MUSSAFAH||SHUWEIHAT SITE||FB||per truck
Prime Geotextile Mussafah,Al Masaood (MOSB),3 TON PU,per truck,110.0,5.94,105.0,115.0,2,PRIME GEOTEXTILE MUSSAFAH||AL MASAOOD (MOSB)||3 TON PU||per truck
Prime Geotextile Mussafah,Al Masaood (MOSB),FB,per truck,200.0,5.94,200.0,200.0,2,PRIME GEOTEXTILE MUSSAFAH||AL MASAOOD (MOSB)||FB||per truck
SHUWEIHAT Site,Al Masaood (MOSB),FB,per truck,600.0,108.8,600.0,600.0,6,SHUWEIHAT SITE||AL MASAOOD (MOSB)||FB||per truck
SHUWEIHAT Site,Al Masaood (MOSB),LOWBED,per truck,1225.32,245.0,1225.32,1225.32,1,SHUWEIHAT SITE||AL MASAOOD (MOSB)||LOWBED||per truck
SHUWEIHAT Site,MIRFA SITE,FB,per truck,836.0,23.5,718.0,836.0,3,SHUWEIHAT SITE||MIRFA SITE||FB||per truck
SHUWEIHAT Site,MIRFA SITE,FLATBED (CICPA),per truck,600.0,23.5,600.0,600.0,1,SHUWEIHAT SITE||MIRFA SITE||FLATBED (CICPA)||per truck
SHUWEIHAT Site,MIRFA SITE,LOWBED,per truck,1089.18,97.4,1089.18,1089.18,1,SHUWEIHAT SITE||MIRFA SITE||LOWBED||per truck
